user_1,user_2,event
13969,17096,11
18669,27421,11
16510,33664,11
17770,26329,11
11003,31620,11
34164,19514,11
33309,114,11
26831,1153,11
23983,18602,11
11960,27017,11
8723,19503,11
26259,32230,11
37128,20368,11
3094,1153,11
16778,13501,11
8987,9766,11
1784,20509,11
36789,9899,11
19845,22830,11
1160,34246,11
36024,28676,11
35047,32778,11
4816,24235,11
6664,4675,11
21604,7251,11
36347,22688,11
25673,36285,11
32124,22601,11
34889,17734,11
4909,3592,11
1616,28701,11
7549,14687,11
35793,11263,11
6189,16012,11
12370,22348,11
21467,25225,11
6180,16667,11
9347,26620,11
25621,3763,11
11707,1533,11
23514,10255,11
35258,36568,11
29783,20147,11
26215,1367,11
14715,3417,11
34074,3473,11
17898,31216,11
4445,34321,11
6140,3165,11
17962,25291,11
8076,20687,11
24567,28216,11
11784,22601,11
4536,12800,11
2434,6018,11
31169,34856,11
29125,30902,11
31999,9946,11
16767,17641,11
33507,29494,11
12800,25547,11
14747,21136,11
20509,14463,11
37347,25607,11
35444,37444,11
27506,7721,11
31499,1842,11
35834,19536,11
4289,32698,11
26839,22827,11
16814,28703,11
13605,25162,11
16298,30517,11
22772,28641,11
13796,15947,11
12094,9939,11
25718,8076,11
5804,4554,11
12785,9719,11
37215,5698,11
9875,21505,11
21190,27428,11
9116,36412,11
32190,18586,11
3921,35904,11
22380,2156,11
19696,17947,11
36754,26010,11
29271,6861,11
21958,28676,11
21257,20527,11
1037,19110,11
18754,31348,11
10712,8345,11
21190,2292,11
35251,36709,11
14569,13747,11
34321,15348,11
25537,29724,11
7721,27651,11
14181,18363,11
18709,20487,11
35413,6628,11
26034,31415,11
34889,21835,11
22924,31973,11
15539,4104,11
21862,10960,11
34640,21492,11
26188,31574,11
26535,14058,11
29295,3661,11
30400,32805,11
37220,17381,11
6929,28621,11
13292,6526,11
9886,5429,11
28222,14194,11
30112,1370,11
14183,17989,11
24938,21705,11
23698,6866,11
29760,27415,11
3633,16450,11
26070,12638,11
11539,27195,11
21696,16185,11
34959,8922,11
19721,35411,11
16816,16641,11
3177,940,11
16767,37801,11
1300,14534,11
16869,30995,11
17955,265,11
7492,24102,11
3077,5838,11
24434,24905,11
28414,35708,11
2682,22351,11
6009,27787,11
35793,6782,11
17380,2700,11
30906,29646,11
17947,3835,11
22601,25100,11
13713,54,11
18613,29588,11
5289,8161,11
29190,5421,11
31751,16134,11
10726,4160,11
17162,35946,11
11456,24905,11
22800,20368,11
32728,5727,11
28079,32470,11
8296,10562,11
34718,29891,11
24280,20144,11
19559,17145,11
12602,11529,11
16827,13623,11
36134,33095,11
4255,28917,11
6389,16711,11
10727,4520,11
3343,27235,11
35326,20630,11
6567,30034,11
24644,21176,11
16192,36985,11
10255,23514,11
1136,34162,11
9367,17989,11
11779,9291,11
36754,11820,11
271,27897,11
27798,3912,11
4661,20686,11
10654,35571,11
33398,4891,11
4554,5804,11
15698,37647,11
33869,1300,11
9465,31594,11
14513,27440,11
27403,10590,11
12749,27069,11
30542,14168,11
26215,5447,11
26402,32526,11
22830,19845,11
28495,32753,11
8543,4874,11
10641,17683,11
363,14310,11
25316,7257,11
20146,13448,11
24564,10248,11
7482,6664,11
1665,15353,11
35571,10654,11
6856,2331,11
16668,25954,11
8532,7257,11
7666,15630,11
4993,26320,11
14936,22595,11
8454,22250,11
11322,13719,11
14925,28821,11
4411,23261,11
19209,5266,11
7388,10234,11
28129,16994,11
4249,1628,11
31478,36757,11
20147,21312,11
4695,32089,11
34336,20435,11
9507,18545,11
10125,13544,11
37121,30549,11
37330,9461,11
1764,12870,11
20147,9536,11
3881,29181,11
9766,6992,11
27633,27608,11
37863,32818,11
31051,35434,11
18481,2698,11
7760,9875,11
10442,9531,11
26782,30966,11
10641,16134,11
33824,30767,11
17663,16723,11
35569,22339,11
33975,20113,11
23850,24329,11
15356,5877,11
23495,27814,11
12666,14891,11
29205,36967,11
19750,27651,11
